City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
8,Bambous Virieux,MU,84.22,light rain,-20.3428,57.7575,Casa Tia Villa
10,Mahebourg,MU,84.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Atar,MR,75.43,overcast clouds,20.5169,-13.0499,Oumou Elghoura
25,Caravelas,BR,77.36,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
28,Busselton,AU,78.08,overcast clouds,-33.65,115.3333,Observatory Guest House
31,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
32,Omboue,GA,77.45,overcast clouds,-1.5746,9.2618,Hotel Olako
37,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
38,Harper,LR,77.43,scattered clouds,4.375,-7.7169,Screensaver
39,Piacabucu,BR,77.85,broken clouds,-10.4056,-36.4344,Piaçabuçu News
46,Chirongui,YT,80.53,few clouds,-12.9319,45.1483,La Villa Mahatsara
49,Mathbaria,BD,75.36,scattered clouds,22.2876,89.9593,Shikdar Hotel
54,Paracuru,BR,82.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
56,Saint-Pierre,RE,82.18,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
58,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
65,Banda Aceh,ID,85.01,scattered clouds,5.5577,95.3222,Sulthan Hotel International
69,Galle,LK,83.39,few clouds,6.0367,80.217,Amangalla
70,Sao Jose Da Coroa Grande,BR,77.5,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
80,Bandarbeyla,SO,76.96,overcast clouds,9.4942,50.8122,JABIR HOTEL
83,Tabou,CI,76.96,scattered clouds,4.423,-7.3528,hotêl doufoulougou
102,Ambilobe,MG,79.12,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
108,Kavaratti,IN,81.54,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
114,Dingle,PH,84.74,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
120,Grand Gaube,MU,84.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
122,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
125,Japaratuba,BR,79.88,scattered clouds,-10.5933,-36.9403,Pousada Japaratuba
131,Vangaindrano,MG,77.47,clear sky,-23.35,47.6,Hotel Fanilo
136,Amalapuram,IN,77.38,few clouds,16.5833,82.0167,swayamprabha service apartments
148,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
