,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,72.28,83,100,8.05,overcast clouds
1,Coihaique,CL,-45.5752,-72.0662,48.81,71,40,2.3,scattered clouds
2,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,74.03,94,97,1.77,overcast clouds
3,Caernarfon,GB,53.1413,-4.2702,45.52,70,75,24.16,broken clouds
4,Ushuaia,AR,-54.8,-68.3,44.26,70,40,8.05,scattered clouds
5,Georgetown,MY,5.4112,100.3354,89.53,64,20,4.61,few clouds
6,Hermanus,ZA,-34.4187,19.2345,72.81,79,100,12.5,overcast clouds
7,Havre-Saint-Pierre,CA,50.2334,-63.5986,12.2,66,100,12.66,overcast clouds
8,Bambous Virieux,MU,-20.3428,57.7575,84.22,89,75,12.66,light rain
9,Cape Town,ZA,-33.9258,18.4232,70.21,78,0,1.99,clear sky
10,Mahebourg,MU,-20.4081,57.7,84.25,89,75,12.66,broken clouds
11,Port Elizabeth,ZA,-33.918,25.5701,68.09,100,100,5.75,overcast clouds
12,Iqaluit,CA,63.7506,-68.5145,-25.31,74,20,5.01,few clouds
13,Rio Gallegos,AR,-51.6226,-69.2181,48.25,53,40,16.11,scattered clouds
14,Mecca,SA,21.4267,39.8261,66.33,65,99,3.04,overcast clouds
15,Atar,MR,20.5169,-13.0499,75.43,13,100,8.63,overcast clouds
16,Sabla,NG,12.7525,4.7077,63.75,13,16,18.54,few clouds
17,Jamestown,US,42.097,-79.2353,12.72,92,0,3.44,clear sky
18,Port Alfred,ZA,-33.5906,26.891,74.32,84,100,11.79,overcast clouds
19,Windhoek,NA,-22.5594,17.0832,64.89,90,40,1.14,scattered clouds
20,Ponta Do Sol,PT,32.6667,-17.1,65.12,39,0,10.16,clear sky
21,Manicore,BR,-5.8092,-61.3003,70.92,99,100,1.52,overcast clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,63.88,64,100,20.0,overcast clouds
23,Adrar,MR,20.5022,-10.0711,70.74,14,100,11.05,overcast clouds
24,Lebu,CL,-37.6167,-73.65,55.8,75,0,20.02,clear sky
25,Caravelas,BR,-17.7125,-39.2481,77.36,87,64,8.66,broken clouds
26,Kruisfontein,ZA,-34.0033,24.7314,65.88,83,90,4.41,overcast clouds
27,Coroata,BR,-4.13,-44.1242,70.57,94,12,1.92,few clouds
28,Busselton,AU,-33.65,115.3333,78.08,30,97,16.64,overcast clouds
29,Bayir,TR,37.2687,28.2167,43.32,95,97,4.72,overcast clouds
30,Nizwa,OM,22.9333,57.5333,73.94,30,0,1.3,clear sky
31,Cabedelo,BR,-6.9811,-34.8339,79.47,75,34,12.8,scattered clouds
32,Omboue,GA,-1.5746,9.2618,77.45,87,100,2.64,overcast clouds
33,Vardo,NO,70.3705,31.1107,21.4,70,58,17.72,broken clouds
34,Saint George,US,37.1041,-113.5841,52.36,34,0,1.99,clear sky
35,Qaqortoq,GL,60.7167,-46.0333,22.37,70,100,15.12,light snow
36,Falmouth,GB,50.1544,-5.0711,46.98,76,75,16.11,broken clouds
37,Vila Velha,BR,-20.3297,-40.2925,78.75,92,20,2.3,few clouds
38,Harper,LR,4.375,-7.7169,77.43,86,38,1.99,scattered clouds
39,Piacabucu,BR,-10.4056,-36.4344,77.85,85,79,7.34,broken clouds
40,Klaksvik,FO,62.2266,-6.589,32.92,62,99,36.69,overcast clouds
41,La Ferte-Bernard,FR,48.1863,0.6536,44.22,88,82,13.29,broken clouds
42,Zarasai,LT,55.7333,26.25,25.84,95,100,9.95,light snow
43,Longyearbyen,SJ,78.2186,15.6401,10.24,61,40,17.27,light shower snow
44,Victoria,HK,22.2855,114.1577,60.24,73,97,1.99,overcast clouds
45,Lubben,DE,51.95,13.9,38.25,82,100,7.61,overcast clouds
46,Chirongui,YT,-12.9319,45.1483,80.53,70,24,5.61,few clouds
47,Virginia Beach,US,36.8529,-75.978,34.02,72,100,4.61,overcast clouds
48,Faya,SA,18.3851,42.4509,51.91,65,4,5.48,clear sky
49,Mathbaria,BD,22.2876,89.9593,75.36,29,35,2.39,scattered clouds
50,Ribeira Grande,PT,38.5167,-28.7,59.5,72,40,23.22,scattered clouds
51,Smithville,US,39.3869,-94.5811,37.81,58,75,9.22,broken clouds
52,Tasiilaq,GL,65.6145,-37.6368,4.23,60,100,6.15,light snow
53,Narsaq,GL,60.9167,-46.05,21.56,82,100,13.53,light snow
54,Paracuru,BR,-3.41,-39.0306,82.11,83,86,9.78,overcast clouds
55,Qasigiannguit,GL,68.8193,-51.1922,-9.53,65,44,12.06,scattered clouds
56,Saint-Pierre,RE,-21.3393,55.4781,82.18,78,100,11.5,overcast clouds
57,Taltal,CL,-25.4,-70.4833,64.31,81,11,1.68,few clouds
58,Cayenne,GF,4.9333,-52.3333,79.09,89,75,0.0,broken clouds
59,Upernavik,GL,72.7868,-56.1549,-10.71,97,100,5.88,overcast clouds
60,Brigantine,US,39.4101,-74.3646,26.01,72,100,0.0,overcast clouds
61,Grand-Santi,GF,4.25,-54.3833,69.78,100,70,1.21,broken clouds
62,Matiguas,NI,12.8373,-85.4622,64.33,93,18,5.3,few clouds
63,Hamilton,US,39.1834,-84.5333,29.08,77,0,1.01,clear sky
64,Mykolayivka,UA,47.5414,30.7561,35.04,74,99,20.29,overcast clouds
65,Banda Aceh,ID,5.5577,95.3222,85.01,66,49,8.08,scattered clouds
66,Groningen,NL,53.25,6.75,43.02,93,100,8.99,light intensity drizzle
67,Sao Filipe,CV,14.8961,-24.4956,71.6,73,100,5.59,overcast clouds
68,Saldanha,ZA,-33.0117,17.9442,62.65,79,100,6.02,overcast clouds
69,Galle,LK,6.0367,80.217,83.39,72,17,2.19,few clouds
70,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.5,81,38,4.97,scattered clouds
71,Punta Arenas,CL,-53.15,-70.9167,48.31,71,40,19.57,scattered clouds
72,Carutapera,BR,-1.195,-46.02,74.21,94,100,4.16,light rain
73,Doha,QA,25.2867,51.5333,62.58,74,0,5.75,clear sky
74,Luderitz,NA,-26.6481,15.1594,63.27,93,65,6.26,broken clouds
75,Margate,GB,51.3813,1.3862,44.74,69,55,10.0,broken clouds
76,East London,ZA,-33.0153,27.9116,72.54,88,0,9.22,clear sky
77,Kalangala,UG,-0.3089,32.225,69.15,65,100,1.52,light rain
78,Matagami,CA,49.7502,-77.6328,-14.69,84,0,6.91,clear sky
79,Khambhaliya,IN,22.2072,69.6683,67.51,61,0,8.43,clear sky
80,Bandarbeyla,SO,9.4942,50.8122,76.96,76,85,17.18,overcast clouds
81,Bocholt,DE,51.8333,6.6,44.56,95,91,22.08,overcast clouds
82,Sakakah,SA,29.9697,40.2064,49.57,46,100,14.67,overcast clouds
83,Tabou,CI,4.423,-7.3528,76.96,87,32,2.91,scattered clouds
84,Grindavik,IS,63.8424,-22.4338,28.87,69,75,17.27,broken clouds
85,Tsabong,BW,-26.0217,22.401,68.38,88,98,16.71,moderate rain
86,Sept-Iles,CA,50.2001,-66.3821,3.72,60,75,6.91,broken clouds
87,Dieppe,FR,49.75,1.1667,46.58,78,99,5.99,overcast clouds
88,Novyy Urengoy,RU,66.0833,76.6333,-4.56,99,99,7.65,overcast clouds
89,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,27,0,18.41,clear sky
90,Newry,GB,54.1784,-6.3374,43.52,74,89,20.02,light rain
91,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,46,0,14.97,clear sky
92,Aktash,RU,50.3,87.7333,1.26,68,23,4.65,few clouds
93,Viedma,AR,-40.8135,-62.9967,57.38,44,66,6.4,broken clouds
94,Bardiyah,LY,31.7561,25.0865,55.81,66,100,23.58,overcast clouds
95,Vagur,FO,61.4732,-6.8119,36.37,61,100,35.72,overcast clouds
96,Svetlogorsk,BY,52.6333,29.7333,27.43,96,100,9.53,overcast clouds
97,Kyabe,TD,9.4515,18.9449,66.36,19,23,5.53,few clouds
98,Chuy,UY,-33.6971,-53.4616,68.32,89,0,8.57,clear sky
99,Tengushevo,RU,54.7686,42.7189,24.37,95,100,11.36,light snow
100,Laranjeiras Do Sul,BR,-25.4078,-52.4161,62.28,98,36,3.4,light rain
101,Bilma,NE,18.6853,12.9164,50.11,22,1,14.58,clear sky
102,Ambilobe,MG,-13.2,49.05,79.12,85,84,0.54,broken clouds
103,Lagoa,PT,39.05,-27.9833,58.37,72,31,25.95,scattered clouds
104,Gavle,SE,60.6745,17.1417,24.51,87,15,1.99,few clouds
105,Husavik,IS,66.0449,-17.3389,22.91,64,92,19.91,overcast clouds
106,Requena,ES,39.4883,-1.1004,45.5,31,2,6.87,clear sky
107,Olafsvik,IS,64.8945,-23.7142,25.9,56,100,15.19,overcast clouds
108,Kavaratti,IN,10.5669,72.642,81.54,73,1,9.1,clear sky
109,Clyde River,CA,70.4692,-68.5914,-32.57,75,0,3.44,clear sky
110,Abu Zabad,SD,12.35,29.25,55.58,23,0,10.54,clear sky
111,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,79,75,14.07,broken clouds
112,Nanortalik,GL,60.1432,-45.2371,22.73,76,99,20.6,overcast clouds
113,Nola,IT,40.922,14.5329,53.55,99,96,2.53,overcast clouds
