City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yining,CN,2022-01-30 19:35:06,29.0361,114.5636,37.15,86,100,1.92
1,Manaure,CO,2022-01-30 19:35:07,11.7751,-72.4445,84.31,69,1,17.02
2,Tasiilaq,GL,2022-01-30 19:35:07,65.6145,-37.6368,8.76,37,94,22.75
3,Galle,LK,2022-01-30 19:35:07,6.0367,80.217,76.71,88,28,4.47
4,Victoria,HK,2022-01-30 19:35:08,22.2855,114.1577,59.32,76,90,1.99
5,Saint-Philippe,RE,2022-01-30 19:35:08,-21.3585,55.7679,80.19,82,60,14.36
6,Castro,BR,2022-01-30 19:35:08,-24.7911,-50.0119,63.66,99,100,5.93
7,Alta Floresta,BR,2022-01-30 19:35:09,-9.8756,-56.0861,85.82,70,75,8.05
8,Klaksvik,FO,2022-01-30 19:35:09,62.2266,-6.589,34.72,97,100,18.57
9,Aqtobe,KZ,2022-01-30 19:30:21,50.2797,57.2072,26.69,86,75,22.37
10,Clyde River,CA,2022-01-30 19:35:09,70.4692,-68.5914,-19.97,69,75,3.44
11,Dikson,RU,2022-01-30 19:33:47,73.5069,80.5464,-3.96,94,100,21.03
12,Port Elizabeth,ZA,2022-01-30 19:33:41,-33.918,25.5701,75.09,88,20,13.8
13,Turukhansk,RU,2022-01-30 19:35:10,65.8167,87.9833,0.39,95,98,9.06
14,Jamestown,US,2022-01-30 19:32:55,42.097,-79.2353,21.02,42,100,3.0
15,Mahenge,TZ,2022-01-30 19:35:10,-8.6833,36.7167,64.36,97,100,1.36
16,Camana,PE,2022-01-30 19:35:11,-16.6228,-72.7111,73.78,66,32,8.59
17,Ushuaia,AR,2022-01-30 19:33:20,-54.8,-68.3,47.86,71,75,29.93
18,East London,ZA,2022-01-30 19:35:11,-33.0153,27.9116,75.04,83,91,15.84
19,Naryan-Mar,RU,2022-01-30 19:35:12,67.6713,53.087,11.71,93,100,13.58
20,Tartagal,AR,2022-01-30 19:35:12,-22.5164,-63.8013,91.22,30,1,5.86
21,Paamiut,GL,2022-01-30 19:33:46,61.994,-49.6678,10.08,77,100,4.79
22,Codrington,AU,2022-01-30 19:33:24,-38.2667,141.9667,64.18,93,71,5.99
23,Omboue,GA,2022-01-30 19:35:12,-1.5746,9.2618,78.91,82,100,4.07
24,Cayenne,GF,2022-01-30 19:35:13,4.9333,-52.3333,78.84,89,75,5.01
25,Qaanaaq,GL,2022-01-30 19:35:13,77.484,-69.3632,-7.87,71,100,8.3
26,Iskateley,RU,2022-01-30 19:35:13,67.6803,53.1512,11.71,93,100,13.67
27,Ponta Do Sol,PT,2022-01-30 19:35:14,32.6667,-17.1,66.13,52,1,9.48
28,Pisco,PE,2022-01-30 19:31:25,-13.7,-76.2167,75.25,64,0,6.91
29,Kamskiye Polyany,RU,2022-01-30 19:35:14,55.4307,51.4171,18.41,98,99,2.13
30,Sorland,NO,2022-01-30 19:35:15,67.667,12.6934,33.66,47,97,9.78
31,Voskresenskoye,RU,2022-01-30 19:35:15,56.8381,45.4317,15.03,97,95,4.38
32,Guarapari,BR,2022-01-30 19:35:15,-20.6667,-40.4975,84.09,80,93,6.89
33,Hermanus,ZA,2022-01-30 19:35:16,-34.4187,19.2345,70.81,82,100,14.25
34,Port Alfred,ZA,2022-01-30 19:33:19,-33.5906,26.891,74.59,86,100,21.05
35,Krasnoselkup,RU,2022-01-30 19:35:16,65.7,82.4667,-5.08,98,96,8.19
